customer_id,signup_date,region,age,plan,contract,payment_method,tenure_months,monthly_charges,support_tickets,late_payments,nps,usage_hours,last_login_days,auto_pay,churn,churn_date
CUST-00001,2024-02-27,Nordeste,26,Básico,Bienal,Pix,28,74.78,0,2,10,44.0,11,Não,0,
CUST-00002,2024-11-29,Sul,33,Premium,Bienal,Pix,19,153.65,1,1,7,44.0,17,Sim,0,
CUST-00003,2020-09-03,Centro-Oeste,42,Básico,Mensal,Boleto,70,42.13,1,2,5,23.4,6,Sim,0,
CUST-00004,2023-10-23,Nordeste,31,Padrão,Mensal,Pix,32,100.03,1,1,8,18.4,2,Não,0,
CUST-00005,2023-07-25,Sudeste,36,Premium,Mensal,Pix,35,147.07,1,0,6,39.4,20,Sim,0,
CUST-00006,2024-10-08,Norte,44,Padrão,Bienal,Cartão,21,90.91,1,1,8,64.6,34,Sim,0,
CUST-00007,2022-05-22,Nordeste,35,Padrão,Mensal,Pix,50,108.4,1,0,3,33.7,1,Não,0,
CUST-00008,2025-10-17,Nordeste,42,Básico,Mensal,Cartão,8,65.8,2,1,7,46.7,5,Não,0,
CUST-00009,2023-10-26,Sudeste,58,Básico,Mensal,Débito automático,32,70.68,3,0,7,26.4,3,Não,1,2026-05-27
CUST-00010,2023-01-05,Sul,37,Básico,Mensal,Cartão,42,54.28,1,1,5,36.7,1,Sim,0,
CUST-00011,2025-03-15,Sudeste,53,Básico,Mensal,Débito automático,15,73.13,1,0,5,10.2,8,Não,0,
CUST-00012,2020-07-06,Centro-Oeste,46,Básico,Anual,Boleto,72,59.2,3,0,7,25.3,2,Não,0,
CUST-00013,2024-04-27,Nordeste,21,Básico,Mensal,Boleto,26,55.02,0,0,5,18.1,2,Sim,0,
CUST-00014,2025-04-11,Nordeste,26,Básico,Mensal,Débito automático,14,43.62,0,1,1,78.7,15,Não,1,2026-04-18
CUST-00015,2024-04-04,Sul,29,Básico,Anual,Cartão,27,39.0,1,1,5,32.7,6,Não,0,
CUST-00016,2025-07-18,Sudeste,29,Premium,Mensal,Pix,11,137.11,1,0,5,97.7,12,Não,1,2026-02-11
CUST-00017,2025-06-27,Sul,38,Básico,Mensal,Cartão,12,62.02,1,1,7,32.5,17,Sim,0,
CUST-00018,2025-06-27,Sudeste,46,Padrão,Mensal,Cartão,12,86.29,2,1,5,39.2,34,Sim,1,2026-03-07
CUST-00019,2025-12-12,Nordeste,54,Premium,Anual,Pix,6,135.97,2,1,7,30.8,6,Sim,1,2026-03-15
CUST-00020,2024-10-21,Nordeste,43,Básico,Mensal,Boleto,20,53.13,2,0,5,27.1,18,Não,1,2026-01-11
CUST-00021,2025-12-18,Nordeste,34,Padrão,Anual,Boleto,6,102.92,0,1,9,38.5,11,Não,0,
CUST-00022,2024-10-21,Sudeste,18,Premium,Mensal,Cartão,20,164.81,2,3,8,45.7,8,Não,1,2026-05-27
CUST-00023,2026-01-18,Norte,40,Padrão,Mensal,Boleto,5,98.6,1,1,6,20.7,7,Não,0,
CUST-00024,2024-11-21,Centro-Oeste,39,Básico,Mensal,Cartão,19,58.15,4,0,7,26.8,8,Não,1,2026-01-01
CUST-00025,2023-07-27,Nordeste,41,Padrão,Mensal,Cartão,35,91.46,3,0,8,15.5,6,Sim,0,
CUST-00026,2025-06-21,Sudeste,64,Padrão,Mensal,Cartão,12,107.87,1,0,7,12.4,1,Sim,0,
CUST-00027,2023-12-22,Sul,54,Básico,Anual,Pix,30,56.52,1,0,7,45.7,3,Não,0,
CUST-00028,2024-02-07,Sudeste,48,Básico,Mensal,Pix,29,57.93,2,1,3,43.4,0,Não,0,
CUST-00029,2025-03-20,Sudeste,27,Básico,Mensal,Cartão,15,73.53,0,0,6,29.6,10,Sim,0,
CUST-00030,2025-12-15,Nordeste,33,Premium,Bienal,Cartão,6,170.09,0,0,5,43.4,1,Sim,0,
CUST-00031,2021-07-21,Nordeste,38,Básico,Mensal,Pix,60,56.41,4,1,9,46.7,2,Sim,0,
CUST-00032,2023-01-06,Norte,30,Básico,Mensal,Boleto,42,54.42,2,0,6,54.4,2,Sim,0,
CUST-00033,2025-03-09,Sudeste,45,Padrão,Mensal,Cartão,15,94.31,3,2,6,10.4,6,Sim,0,
CUST-00034,2021-04-13,Sudeste,43,Premium,Mensal,Boleto,63,130.7,3,3,8,33.2,10,Não,1,2026-02-11
CUST-00035,2023-01-25,Sul,26,Básico,Bienal,Boleto,41,74.36,1,0,4,18.2,8,Sim,0,
CUST-00036,2023-05-25,Sudeste,53,Básico,Bienal,Pix,37,49.41,4,1,7,22.2,13,Não,1,2026-04-01
CUST-00037,2025-10-26,Sudeste,40,Padrão,Mensal,Cartão,8,110.96,1,0,3,21.2,14,Sim,1,2026-03-03
CUST-00038,2023-05-29,Sul,18,Padrão,Bienal,Débito automático,37,99.58,2,0,6,37.8,9,Não,0,
CUST-00039,2022-06-11,Sudeste,38,Padrão,Mensal,Pix,49,118.48,1,1,6,24.7,4,Sim,0,
CUST-00040,2024-04-16,Nordeste,42,Premium,Bienal,Pix,26,166.41,3,0,10,10.3,1,Não,0,
CUST-00041,2023-12-14,Sul,51,Básico,Anual,Débito automático,30,71.77,3,1,7,40.9,4,Sim,0,
CUST-00042,2023-08-06,Centro-Oeste,35,Básico,Mensal,Débito automático,35,50.71,2,0,5,18.0,2,Sim,1,2026-03-27
CUST-00043,2022-02-12,Nordeste,49,Básico,Anual,Boleto,53,41.0,0,2,7,18.4,7,Sim,1,2026-02-15
CUST-00044,2023-11-02,Sudeste,41,Básico,Anual,Boleto,32,61.07,2,0,10,104.4,13,Sim,0,
CUST-00045,2023-08-24,Centro-Oeste,23,Padrão,Mensal,Cartão,34,72.16,2,2,3,60.9,3,Sim,1,2026-03-18
CUST-00046,2024-01-31,Nordeste,22,Padrão,Mensal,Boleto,29,92.45,0,0,9,24.7,32,Sim,0,
CUST-00047,2021-03-16,Sudeste,52,Básico,Anual,Cartão,64,42.35,1,1,8,19.9,2,Não,0,
CUST-00048,2024-05-08,Sudeste,53,Padrão,Mensal,Débito automático,26,87.24,0,1,7,44.8,5,Não,1,2026-01-09
CUST-00049,2023-09-01,Nordeste,43,Básico,Mensal,Pix,34,67.34,2,0,6,117.0,2,Sim,0,
CUST-00050,2021-12-19,Sudeste,57,Padrão,Mensal,Cartão,55,106.42,1,2,10,68.0,3,Sim,0,
CUST-00051,2024-12-17,Sudeste,52,Básico,Anual,Pix,18,56.73,5,0,9,4.4,7,Sim,0,
CUST-00052,2020-07-06,Sudeste,47,Padrão,Mensal,Boleto,72,103.48,0,2,5,46.8,6,Não,0,
CUST-00053,2025-03-02,Nordeste,28,Básico,Mensal,Pix,16,51.43,4,1,7,67.7,10,Não,0,
CUST-00054,2025-06-08,Nordeste,60,Premium,Mensal,Boleto,12,192.97,1,1,10,41.9,10,Não,0,
CUST-00055,2023-07-19,Nordeste,45,Premium,Mensal,Cartão,35,163.21,2,0,8,65.5,14,Sim,1,2026-04-17
CUST-00056,2025-03-03,Nordeste,34,Premium,Anual,Cartão,16,150.74,4,0,8,23.0,8,Não,0,
CUST-00057,2021-04-15,Sul,31,Premium,Mensal,Pix,63,171.26,1,0,4,53.8,5,Sim,1,2026-01-08
CUST-00058,2020-07-29,Sul,42,Básico,Anual,Pix,72,76.36,3,0,10,31.7,5,Sim,0,
CUST-00059,2025-05-29,Sudeste,19,Padrão,Mensal,Boleto,13,88.16,2,0,9,46.1,7,Não,0,
CUST-00060,2025-06-27,Sudeste,47,Básico,Anual,Débito automático,12,39.14,1,1,10,69.3,6,Não,0,
CUST-00061,2025-08-02,Nordeste,28,Premium,Mensal,Boleto,11,141.91,3,1,8,28.5,7,Não,0,
CUST-00062,2026-02-06,Sul,43,Básico,Anual,Pix,4,49.62,4,0,7,22.2,1,Não,0,
CUST-00063,2025-02-11,Sul,33,Básico,Mensal,Pix,16,58.24,3,0,6,56.1,4,Sim,1,2026-02-23
CUST-00064,2022-06-30,Nordeste,36,Padrão,Bienal,Débito automático,48,76.19,0,1,9,37.4,0,Sim,0,
